,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
130,66,2009,,1.0,42.9715393,75.8857554,1.2,S,100.03,,40.0,,15.0,7.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,0.01,0.01,,,8.0,,,7.0,,,0.01,
131,66,2009,,2.0,42.9715393,75.8857554,,D,100.0,,,,5.0,90.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,
132,67,2009,,1.0,42.9715242,75.8848803,1.2,M,100.0,,,,20.0,40.0,10.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,10.0,,,5.0,,,,,5.0,,2.0,6.0,,,,
133,67,2009,,2.0,42.9715242,75.8848803,,M,100.0,,,,1.0,75.0,1.0,,,,,,,,,,,,,2.0,7.0,,,,,,,,,,,2.0,,,2.0,5.0,,,,,4.0,,,1.0,,,,
134,68,2009,,1.0,42.9716138,75.8840747,2.1,D,100.01,,35.0,,60.0,,3.0,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
135,68,2009,,2.0,42.9716138,75.8840747,,M,100.02,,10.0,,20.0,6.0,20.0,,,,,,,,0.01,,,,,,2.0,,,,,,,10.0,,,,,20.0,,,,10.0,2.0,,,,,,0.01,,,,
136,69,2009,,1.0,42.971902,75.8833566,4.0,M,100.01,,3.0,,94.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,2.0,,,,,,,,,,,
137,69,2009,,2.0,42.971902,75.8833566,,D,100.03000000000002,,1.0,,90.0,,3.0,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.01,,6.0,,,,,,,,,,,
138,70,2009,,1.0,42.972166,75.8825192,4.1,T,100.02,,10.0,,60.0,,,,10.0,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,20.0,,,,,,,,,,0.01,
139,70,2009,,2.0,42.972166,75.8825192,,D,100.0,,1.0,,80.0,,2.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
140,71,2009,,1.0,42.9722997,75.8813674,5.0,T,100.0,,33.0,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,
141,71,2009,,2.0,42.9722997,75.8813674,,T,100.0,,1.0,,93.0,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,72,2009,,1.0,42.9730035,75.879904,2.25,S,100.0,,30.0,,60.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,
143,72,2009,,2.0,42.9730035,75.879904,,M,100.01,,10.0,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,70.0,,,,,10.0,,,,0.01,,,,,1.0,,1.0,,,,
144,73,2009,,1.0,42.9732028,75.8792463,0.8,D,100.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,73,2009,,2.0,42.9732028,75.8792463,,D,100.0,,,,1.0,91.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,1.0,,,,,,,,,,,
146,74,2009,,1.0,42.9722799,75.8787055,0.9,D,100.01,,5.0,,3.0,30.0,0.01,,,,,,,,,,,,,,2.0,,,,,,,30.0,,,,,25.0,,,,,,,,,,,5.0,,,,
147,74,2009,,2.0,42.9722799,75.8787055,,M,100.0,,,,10.0,60.0,2.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,5.0,5.0,,,,,,,,,,8.0,,,,
148,75,2009,,1.0,42.971908,75.8793918,2.2,M,100.0,,68.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
149,75,2009,,2.0,42.971908,75.8793918,,D,100.01,,20.0,,35.0,,9.0,,,,,,,,0.01,,,,,,,,,,,,,35.0,,,,,,,,,1.0,,,,,,,,,,,
150,76,2009,,1.0,42.9716923,75.8804835,6.0,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,76,2009,,2.0,42.9716923,75.8804835,,T,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,77,2009,,1.0,42.9714348,75.8818995,4.5,M,100.01,,,,100.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,77,2009,,2.0,42.9714348,75.8818995,,M,100.0,,3.0,,77.0,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
154,78,2009,,1.0,42.9712043,75.8832194,2.0,M,100.0,,30.0,,35.0,,5.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,
155,78,2009,,2.0,42.9712043,75.8832194,,M,100.01,,10.0,,70.0,,3.0,,,,,,,,0.01,,,,,,,,,,,,,9.0,,,,,,7.0,,,1.0,,,,,,,,,,,
156,79,2009,,1.0,42.9705937,75.8828932,1.3,S,100.0,,30.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,20.0,,,,,,,,,,,10.0,,,,
157,79,2009,,2.0,42.9705937,75.8828932,,S,100.0,,40.0,,30.0,1.0,2.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,2.0,,,1.0,
158,80,2009,,1.0,42.970566,75.8820202,3.5,D,100.0,,3.0,,95.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
159,80,2009,,2.0,42.970566,75.8820202,,D,100.0,,5.0,,85.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,3.0,,,,2.0,,,,,,,
160,81,2009,,1.0,42.9707304,75.8809406,5.8,T,100.0,,30.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,81,2009,,2.0,42.9707304,75.8809406,,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,82,2009,,1.0,42.97124,75.87953,4.0,D,100.03000000000002,,0.01,,100.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,
163,82,2009,,2.0,42.97124,75.87953,,D,100.01,,2.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,2.0,,,,,,,,,,,
164,83,2009,,1.0,42.9710137,75.8783806,0.8,M,100.0,,2.0,,50.0,30.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2.0,,,,,2.0,,2.0,,,,
165,83,2009,,2.0,42.9710137,75.8783806,,M,100.01,,10.0,,20.0,40.0,0.01,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,10.0,,,,3.0,,,,,,,10.0,,,,
166,84,2009,,1.0,42.9702305,75.8792937,0.7,S,100.02,,40.0,,0.01,3.0,40.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,4.0,,,,,,,10.0,,,3.0,
167,84,2009,,2.0,42.9702305,75.8792937,,M,100.01,,10.0,,30.0,3.0,30.0,,,,,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,0.01,,6.0,,,,,,,5.0,,,10.0,
168,85,2009,,1.0,42.9699584,75.8802035,3.2,M,100.0,,,,95.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
169,85,2009,,2.0,42.9699584,75.8802035,,S,100.0,,20.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,
170,86,2009,,1.0,42.9699251,75.8811233,3.5,D,100.01,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,2.0,,,,,,,,,,,
171,86,2009,,2.0,42.9699251,75.8811233,,S,100.01,,1.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,,,0.01,,,,,,,
172,87,2009,,1.0,42.9698364,75.8819048,3.1,D,100.01,,45.0,,45.0,,1.0,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,3.0,,,,6.0,,,,,,,
173,87,2009,,2.0,42.9698364,75.8819048,,M,100.0,,8.0,,75.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,4.0,2.0,,,6.0,,,,,,,
174,88,2009,,1.0,42.9697445,75.8823727,1.1,M,100.0,,40.0,,3.0,3.0,4.0,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,40.0,,,,3.0,,,,,,,,,,3.0,
175,88,2009,,2.0,42.9697445,75.8823727,,M,100.01,,25.0,,20.0,5.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,20.0,,1.0,,,,,,15.0,,,10.0,,,0.01,
176,89,2009,,1.0,42.9690662,75.8821374,1.1,S,100.02,,30.0,,10.0,,0.01,,,,,,,,,,,,,,0.01,,,,,,,30.0,,,,,,,,,,,,,15.0,,,15.0,,,,
177,89,2009,,2.0,42.9690662,75.8821374,,S,100.0,,30.0,,1.0,15.0,16.0,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,2.0,,,,,,15.0,3.0,,1.0,2.0,,,,,,10.0,,,1.0,
178,90,2009,,1.0,42.9690518,75.881357,3.1,S,100.01,,45.0,,45.0,,3.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,3.0,,,,,
179,90,2009,,2.0,42.9690518,75.881357,,S,100.0,,50.0,,46.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
180,91,2009,,1.0,42.9690485,75.8802482,3.0,M,100.01,,30.0,,70.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,91,2009,,2.0,42.9690485,75.8802482,,D,100.01,,5.0,,90.0,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,0.01,,,,,,,,,,,
182,92,2009,,1.0,42.9690193,75.8790655,1.8,M,100.02,,40.0,,1.0,0.01,1.0,,40.0,,,,,,,,,,5.0,,1.0,,,,,,,,0.01,,,,9.0,,,,1.0,,,,,,,1.0,,,1.0,
183,92,2009,,2.0,42.9690193,75.8790655,,M,100.02,,20.0,,6.0,5.0,3.0,,20.0,,,,,,0.01,,,,,,1.0,0.01,,2.0,,,,20.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,20.0,
184,93,2009,,1.0,42.9690882,75.8782033,1.1,M,100.01,,10.0,,,65.0,,,,,,,,,0.01,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
185,93,2009,,2.0,42.9690882,75.8782033,,S,100.01,,90.0,,2.0,2.0,0.01,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,
186,94,2009,,1.0,42.9687384,75.8771237,0.8,S,100.0,,,,,98.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
187,94,2009,,2.0,42.9687384,75.8771237,,S,100.0,,,,,82.0,,,,,,,,,,,,,,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,95,2009,,1.0,42.968528,75.8780253,1.75,M,100.0,,15.0,,2.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,74.0,,,,,,,,,,,2.0,,,2.0,
189,95,2009,,2.0,42.968528,75.8780253,,M,100.0,,30.0,,2.0,20.0,11.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,30.0,,1.0,,,,,,,,,2.0,,,2.0,
190,96,2009,,1.0,42.9682861,75.8790745,2.1,M,100.0,,40.0,,40.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,15.0,,,,1.0,,,,3.0,,,,,,,
191,96,2009,,2.0,42.9682861,75.8790745,,S,100.01,,15.0,,15.0,45.0,,,5.0,,,,,,0.01,,,,,1.0,2.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,2.0,
192,97,2009,,1.0,42.9680104,75.8800484,3.4,M,100.02,,30.0,,48.0,,0.01,,,,,,,,,,,1.0,,,0.01,,,,,,,,,,,,20.0,,,,1.0,,,,,,,,,,,
193,97,2009,,2.0,42.9680104,75.8800484,,M,100.0,,45.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,2.0,,,,,2.0,,,,,,,,,,,
194,98,2009,,1.0,42.9679045,75.8807838,3.3,M,100.02,,30.0,,50.0,,,,,,,,,,0.01,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
195,98,2009,,2.0,42.9679045,75.8807838,,S,100.0,,20.0,,35.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,
196,99,2009,,1.0,42.9677924,75.881276,2.0,M,100.02,,80.0,,19.0,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
197,99,2009,,2.0,42.9677924,75.881276,,S,100.0,,60.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,100,2009,,1.0,42.9672178,75.880892,1.0,S,100.02,,40.0,,60.0,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
199,100,2009,,2.0,42.9672178,75.880892,,S,100.0,,40.0,,25.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,1.0,
200,101,2009,,1.0,42.967334,75.879929,1.3,M,100.03,,93.0,,2.0,,2.0,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,2.0,,,1.0,
201,101,2009,,2.0,42.967334,75.879929,,M,100.0,,70.0,,15.0,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,1.0,
202,102,2009,,1.0,42.9673922,75.8787366,2.75,M,100.01,,22.0,,50.0,,3.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,22.0,,,,3.0,,,,,,,,,,,
203,102,2009,,2.0,42.9673922,75.8787366,,M,100.0,,35.0,,35.0,,3.0,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
204,103,2009,,1.0,42.9675851,75.8774752,3.5,D,100.01,,30.0,,40.0,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,5.0,20.0,,,,,,,,5.0,,,,,,
205,103,2009,,2.0,42.9675851,75.8774752,,M,100.0,,10.0,,40.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,40.0,,,,,,
206,104,2009,,1.0,42.9677963,75.8766177,1.0,M,100.02,,,,0.01,96.0,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,2.0,,,,,,2.0,,,,
207,104,2009,,2.0,42.9677963,75.8766177,,M,100.0,,,,2.0,60.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,30.0,,1.0,,,,,,,,,5.0,,,1.0,
208,105,2009,,1.0,42.967126,75.876386,1.4,S,100.0,,,,10.0,48.0,15.0,,,,,,,,,,,,,,15.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,10.0,,,,
209,105,2009,,2.0,42.967126,75.876386,,S,100.0,,40.0,,30.0,3.0,10.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,5.0,,,,,2.0,,,,,,,5.0,,,2.0,
210,106,2009,,1.0,42.9669547,75.8776315,2.6,D,100.06000000000002,,,,1.0,0.01,0.01,,98.0,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,,,,0.01,,,,,1.0,,0.01,,,,
211,106,2009,,2.0,42.9669547,75.8776315,,S,100.0,,5.0,,1.0,4.0,,,74.0,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,11.0,,,,
212,107,2009,,1.0,42.9666414,75.8786547,3.2,S,100.0,,40.0,,30.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,3.0,,,,,20.0,,,,,,
213,107,2009,,2.0,42.9666414,75.8786547,,D,100.0,,5.0,,60.0,,5.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,20.0,2.0,,,,,,,2.0,4.0,,,,,,
214,108,2009,,1.0,42.9665132,75.8797,2.1,M,100.03,,40.0,,40.0,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,20.0,,,,0.01,,,,,,,0.01,,,,
215,108,2009,,2.0,42.9665132,75.8797,,S,100.0,,50.0,,20.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,15.0,,,,2.0,,,,,,,10.0,,,,
216,109,2009,,1.0,42.9662921,75.8806225,1.1,S,100.0,,,,5.0,,45.0,,,,,,,,,,,,,,4.0,,,,,,,,45.0,,,,,,,,,,,,,,,,,,1.0,
217,109,2009,,2.0,42.9662921,75.8806225,,S,100.0,,20.0,,40.0,5.0,10.0,,,,,,,,,,,,,,5.0,,,,,,,,10.0,,,,,,,,6.0,3.0,,,,,,,,,1.0,
218,110,2009,,1.0,42.9656107,75.8804896,1.0,S,100.04000000000002,,,,35.0,60.0,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,2.0,,,,,,,,,3.0,,,0.01,
219,110,2009,,2.0,42.9656107,75.8804896,,S,100.01,,30.0,,40.0,6.0,3.0,,8.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,1.0,2.0,,,,,,10.0,,,,
220,111,2009,,1.0,42.9656859,75.8793787,2.1,M,100.02,,20.0,,20.0,,,,,,,,,,,,,,,,0.01,,,,,,,,0.01,,,,20.0,,,,,,,,,20.0,,20.0,,,,
221,111,2009,,2.0,42.9656859,75.8793787,,S,100.0,,60.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,112,2009,,1.0,42.9659134,75.8780624,3.6,D,100.0,,1.0,,98.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,112,2009,,2.0,42.9659134,75.8780624,,M,100.0,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
224,113,2009,,1.0,42.9661259,75.8768841,2.5,S,100.0,,,,2.0,20.0,2.0,,50.0,,,,,,,,,,,,2.0,,,,,,,,,,,,20.0,,,,,,,,,2.0,,2.0,,,,
225,113,2009,,2.0,42.9661259,75.8768841,,S,100.0,,,,4.0,25.0,,,5.0,,,,,,,,,,,,4.0,,,,,,,,3.0,,,,15.0,,,,4.0,,,,5.0,,,10.0,,,25.0,
226,114,2009,,1.0,42.9663321,75.8760186,1.0,S,100.01,,15.0,,20.0,5.0,10.0,,,,,,,,,,,,,,10.0,,,,,,,5.0,,,10.0,,15.0,,,,,,,,,10.0,,0.01,,,,
227,114,2009,,2.0,42.9663321,75.8760186,,S,100.0,,35.0,,35.0,5.0,5.0,,5.0,,,,,,2.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
228,115,2009,,1.0,42.9657158,75.8754783,1.0,S,100.02,,45.0,,,50.0,,,,,,,,,,,,,,5.0,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
229,115,2009,,2.0,42.9657158,75.8754783,,T,100.0,,3.0,,,80.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,4.0,,,,,,2.0,,,,,1.0,,4.0,,,,
230,116,2009,,1.0,42.9655924,75.8764797,3.2,M,100.0,,30.0,,35.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,30.0,,,,,,,,,,,,
231,116,2009,,2.0,42.9655924,75.8764797,,M,100.0,,20.0,,30.0,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,30.0,,,,3.0,,,,10.0,,,3.0,,,,
232,117,2009,,1.0,42.9651539,75.8778159,4.2,S,100.0,,30.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,117,2009,,2.0,42.9651539,75.8778159,,M,100.0,,20.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,4.0,,,,,,,,,,1.0,
234,118,2009,,1.0,42.9648903,75.8788614,2.2,M,100.0,,30.0,,35.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,,,,,,,,,,,,,,
235,118,2009,,2.0,42.9648903,75.8788614,,M,100.0,,40.0,,29.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,
236,119,2009,,1.0,42.9646217,75.8798919,0.9,M,100.03000000000002,,,,5.0,60.0,0.01,,0.01,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,0.01,,,,
237,119,2009,,2.0,42.9646217,75.8798919,,M,100.01,,0.01,,30.0,30.0,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,28.0,,,,,,4.0,,,,,,,,,,2.0,,,1.0,
238,120,2009,,1.0,42.9638469,75.8796666,0.7,M,100.02,,,,3.0,45.0,45.0,,,,,,,,,,,,,,1.0,1.0,,0.01,,,,,,,,,,,,,,,,,,0.01,,5.0,,,,
239,120,2009,,2.0,42.9638469,75.8796666,,M,100.01,,0.01,,10.0,20.0,15.0,,,,,,,,,,,,,10.0,10.0,,,8.0,,,,,1.0,,1.0,5.0,,,1.0,,2.0,,,,2.0,,,10.0,,,5.0,
240,121,2009,,1.0,42.9639872,75.8786539,2.6,M,100.02,,20.0,,60.0,,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
241,121,2009,,2.0,42.9639872,75.8786539,,M,100.0,,30.0,,60.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
242,122,2009,,1.0,42.9640562,75.8771422,5.8,S,100.0,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
243,122,2009,,2.0,42.9640562,75.8771422,,S,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,123,2009,,1.0,42.9644194,75.875574,3.8,S,100.03000000000002,,0.01,,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,55.0,,,,,,,,,44.0,,1.0,,,,
245,123,2009,,2.0,42.9644194,75.875574,,S,100.01,,3.0,,45.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,1.0,,,,,,,0.01,,5.0,,,,
246,124,2009,,1.0,42.9646037,75.8746784,1.5,T,100.0,,,,,,,,,,,,,,,,,,30.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,30.0,,,30.0,
247,124,2009,,2.0,42.9646037,75.8746784,,T,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,70.0,
248,125,2009,,1.0,42.9639509,75.8739917,1.7,T,100.0,,,,,30.0,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,
249,125,2009,,2.0,42.9639509,75.8739917,,S,100.0,,50.0,,15.0,15.0,,,1.0,,,,,,,,,,,,10.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,
250,126,2009,,1.0,42.963495,75.8750705,6.3,M,100.01,,10.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
251,126,2009,,2.0,42.963495,75.8750705,,S,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,127,2009,,1.0,42.963,75.8769,5.0,M,100.0,,45.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,127,2009,,2.0,42.963,75.8769,,S,100.0,,60.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,128,2009,,1.0,42.962612,75.878214,2.8,M,100.0,,20.0,,50.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,10.0,,,,,,
255,128,2009,,2.0,42.962612,75.878214,,M,100.01,,5.0,,60.0,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,5.0,5.0,,,,,,
256,129,2009,,1.0,42.9625696,75.8789486,1.0,M,100.01,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,40.0,,,,,,,,,,,10.0,,,,
257,129,2009,,2.0,42.9625696,75.8789486,,M,100.0,,,,,15.0,2.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,15.0,30.0,,,,,,,,,,,8.0,,,,
258,130,2009,,1.0,42.9617547,75.8787332,0.8,M,100.01,,,,,70.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,25.0,,,,,,,,,,,5.0,,,,
259,130,2009,,2.0,42.9617547,75.8787332,,S,100.0,,,,,92.0,,,1.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
260,131,2009,,1.0,42.9619178,75.877767,2.6,M,100.02,,45.0,,5.0,,0.01,,,,,,,,,,,,,,5.0,,,,,,,,,,,,45.0,,,,0.01,,,,,,,,,,,
261,131,2009,,2.0,42.9619178,75.877767,,S,100.0,,50.0,,20.0,,1.0,,6.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,20.0,,,,,,,,,,,,,,,
262,132,2009,,1.0,42.9623696,75.8761069,7.5,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,132,2009,,2.0,42.9623696,75.8761069,,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,133,2009,,1.0,42.9629026,75.8743124,6.0,M,100.03,,40.0,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,0.01,,,,
265,133,2009,,2.0,42.9629026,75.8743124,,S,100.0,,5.0,,45.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,45.0,,,,,,,,,,,1.0,,,,
266,134,2009,,1.0,42.963178,75.8734217,2.6,M,100.0,,5.0,,60.0,25.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,134,2009,,2.0,42.963178,75.8734217,,M,100.01,,3.0,,85.0,5.0,,,2.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
